"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","SEX","AGE","MARST","RACE","RACED","HCOVPRIV","EDUC","EDUCD","WKSWORK1","INCWAGE"
2022,202201,119,2022010006193,1612.0,2022000001191,260001,4,1,1612.0,1,23,6,2,200,2,6,63,0,0
2022,202201,280,2022010014932,13218.4,2022000002801,200001,4,1,13218.4,1,21,6,2,200,2,7,71,1,2400
2022,202201,442,2022010024159,4997.2,2022000004421,90001,3,1,4997.2,1,45,6,2,200,1,6,64,0,0
2022,202201,764,2022010042984,8060.0,2022000007641,140301,4,1,8060.0,1,18,6,2,200,2,6,65,0,0
2022,202201,925,2022010053402,6609.2,2022000009251,140101,3,1,6609.2,1,63,4,8,802,1,6,65,0,0
2022,202201,1086,2022010062595,6609.2,2022000010861,180201,3,1,6609.2,1,25,2,2,200,2,5,50,0,0
2022,202201,1248,2022010072640,6931.6,2022000012481,110001,3,1,6931.6,1,34,6,2,200,1,5,50,0,0
2022,202201,1409,2022010082313,9027.2,2022000014091,160001,3,1,9027.2,2,32,6,2,200,1,6,63,0,0
2022,202201,1570,2022010091072,5319.6,2022000015701,140101,3,1,5319.6,1,31,6,1,100,1,6,63,0,0
2022,202201,1731,2022010100661,161.2,2022000017311,130101,4,1,161.2,2,59,4,1,100,2,7,71,0,0
2022,202201,1892,2022010109351,2740.4,2022000018921,260001,3,1,2740.4,1,26,6,2,200,2,6,63,0,0
2022,202201,2215,2022010129937,4352.4,2022000022151,140401,3,1,4352.4,1,30,6,2,200,1,6,63,0,0
2022,202201,2376,2022010139331,5642.0,2022000023761,270201,3,1,5642.0,1,60,2,2,200,1,4,40,20,15600
2022,202201,2537,2022010147798,6448.0,2022000025371,180201,3,1,6448.0,1,55,2,8,802,1,6,64,52,2500
2022,202201,3182,2022000002937,27242.8,2022000031821,100001,1,1,27242.8,1,42,1,8,826,2,6,63,52,38000
2022,202201,3182,2022000002937,27242.8,2022000031821,100001,1,2,32401.2,2,39,1,8,826,1,5,50,0,0
2022,202201,3182,2022000002937,27242.8,2022000031821,100001,1,3,15636.4,1,21,6,8,826,2,8,81,52,52000
2022,202201,3182,2022000002937,27242.8,2022000031821,100001,1,4,15636.4,1,19,6,8,826,1,7,71,26,11000
2022,202201,3343,2022000013037,12573.6,2022000033431,100001,1,2,12573.6,2,63,1,1,100,2,7,71,45,18000
2022,202201,3666,2022000035848,19021.6,2022000036661,180101,1,1,19021.6,1,31,1,1,100,2,10,101,52,0
2022,202201,3666,2022000035848,19021.6,2022000036661,180101,1,2,16281.2,2,27,1,1,100,2,11,114,52,40000
2022,202201,3988,2022000058122,55775.2,2022000039881,280301,1,1,55775.2,1,37,6,2,200,2,5,50,0,0
2022,202201,4149,2022000070313,7415.2,2022000041491,110001,1,1,7254.0,1,61,1,1,100,2,6,63,52,65000
2022,202201,4149,2022000070313,7415.2,2022000041491,110001,1,2,6125.6,2,58,1,1,100,2,6,63,52,52000
