STUSAB,STATE,TYPE,Lower,LowerMid,Middle,UpperMid,Upper
AL,Alabama,Private,0.32666445508193664,0.48346313155283255,0.6268871630266436,0.699020192140819,0.8114751532344947
AL,Alabama,Public,0.6733355449180634,0.5165368684471674,0.3731128369733564,0.30097980785918105,0.18852484676550535
AZ,Arizona,Private,0.32285156223526174,0.4173448262333015,0.5559951097988559,0.6635288344947653,0.7774348290027123
AZ,Arizona,Public,0.6771484377647382,0.5826551737666985,0.44400489020114414,0.3364711655052347,0.2225651709972877
AR,Arkansas,Private,0.2524458170631649,0.41400295146427557,0.5596026490066225,0.6812948785115853,0.7896490694248933
AR,Arkansas,Public,0.7475541829368352,0.5859970485357244,0.44039735099337746,0.3187051214884147,0.21035093057510668
CA,California,Private,0.28297621658708866,0.3549029844037749,0.4944102248740355,0.5937666699492581,0.7667868117305314
CA,California,Public,0.7170237834129113,0.6450970155962251,0.5055897751259645,0.40623333005074197,0.23321318826946855
CO,Colorado,Private,0.3357144997453031,0.4549623518397044,0.5674621831180364,0.6665926566778703,0.814286010432098
CO,Colorado,Public,0.6642855002546969,0.5450376481602957,0.4325378168819636,0.33340734332212973,0.18571398956790192
CT,Connecticut,Private,0.24868279925361073,0.3732142326939021,0.5220977191286047,0.6384966870818686,0.7975363732642685
CT,Connecticut,Public,0.7513172007463893,0.6267857673060979,0.47790228087139525,0.3615033129181314,0.20246362673573143
DE,Delaware,Private,0.2990412901314258,0.4416818545593942,0.5914189276109848,0.6361482967968095,0.7766089975600586
DE,Delaware,Public,0.7009587098685742,0.5583181454406058,0.40858107238901514,0.3638517032031905,0.2233910024399413
DC,District of Columbia,Private,0.30473034046399516,0.4186246418338109,0.5846158018196363,0.7486063035161231,0.8093363415128777
DC,District of Columbia,Public,0.6952696595360048,0.5813753581661891,0.41538419818036365,0.2513936964838768,0.1906636584871223
FL,Florida,Private,0.3527946557836778,0.4551514344216137,0.5908100638809176,0.6683197786285594,0.7727945749747036
FL,Florida,Public,0.6472053442163223,0.5448485655783863,0.40918993611908233,0.3316802213714406,0.22720542502529636
GA,Georgia,Private,0.3547914550806465,0.48001948927997323,0.6160360151876447,0.703455936249488,0.8189872720427365
GA,Georgia,Public,0.6452085449193534,0.5199805107200268,0.3839639848123553,0.29654406375051195,0.1810127279572635
ID,Idaho,Private,0.3490884573605664,0.4526373028820011,0.5831200241041691,0.681580488558968,0.8047719173426671
ID,Idaho,Public,0.6509115426394336,0.5473626971179989,0.4168799758958309,0.3184195114410319,0.19522808265733288
IL,Illinois,Private,0.2888862055232139,0.44752955896015567,0.5984077180961805,0.6891307087693458,0.8197888976587887
IL,Illinois,Public,0.711113794476786,0.5524704410398443,0.4015922819038194,0.3108692912306542,0.1802111023412113
IN,Indiana,Private,0.3007675754737177,0.46584249799371613,0.5963835634127346,0.7150274379713448,0.8326831098436053
IN,Indiana,Public,0.6992324245262823,0.5341575020062839,0.40361643658726537,0.2849725620286552,0.1673168901563947
IA,Iowa,Private,0.3306713319923251,0.48312640874995383,0.6076163531097507,0.7054445576573782,0.8335411101651551
IA,Iowa,Public,0.6693286680076749,0.5168735912500462,0.3923836468902493,0.2945554423426217,0.16645888983484486
KS,Kansas,Private,0.42530444192902367,0.5465623167716114,0.6565629848365817,0.7460998662310037,0.8365370466651625
KS,Kansas,Public,0.5746955580709763,0.4534376832283886,0.3434370151634183,0.2539001337689963,0.1634629533348375
KY,Kentucky,Private,0.23196704744248287,0.40472199639343054,0.556181856171409,0.6824017617713592,0.8032265875470888
KY,Kentucky,Public,0.7680329525575171,0.5952780036065695,0.44381814382859097,0.31759823822864075,0.19677341245291127
LA,Louisiana,Private,0.2342922288217022,0.38956912066180677,0.515826296216954,0.6452202748463141,0.7820189595747865
LA,Louisiana,Public,0.7657077711782978,0.6104308793381932,0.48417370378304603,0.35477972515368594,0.21798104042521355
ME,Maine,Private,0.28626003458867866,0.4345244339998741,0.5768157656321405,0.6721875518002983,0.796147279941958
ME,Maine,Public,0.7137399654113213,0.5654755660001259,0.4231842343678594,0.3278124481997016,0.203852720058042
MD,Maryland,Private,0.3367788665753111,0.4404550995977058,0.5559704567124395,0.6469835041629812,0.8010566572817321
MD,Maryland,Public,0.6632211334246889,0.5595449004022942,0.4440295432875605,0.3530164958370187,0.1989433427182679
MA,Massachusetts,Private,0.2918873309482266,0.3990835030549898,0.5187286322938467,0.6357929073329146,0.8039624407162084
MA,Massachusetts,Public,0.7081126690517734,0.6009164969450101,0.4812713677061533,0.36420709266708534,0.1960375592837916
MI,Michigan,Private,0.2938559346129205,0.44093883616435553,0.5795300801554888,0.6983650085181698,0.8181684882316418
MI,Michigan,Public,0.7061440653870795,0.5590611638356445,0.4204699198445112,0.30163499148183015,0.1818315117683582
MN,Minnesota,Private,0.3382544073689404,0.45197366465535177,0.5749176431883016,0.6753756929308865,0.8346292428111727
MN,Minnesota,Public,0.6617455926310596,0.5480263353446482,0.42508235681169837,0.32462430706911344,0.1653707571888273
MS,Mississippi,Private,0.29481230805344183,0.4937464696436281,0.6108811297586505,0.7117712301682982,0.8078680367638823
MS,Mississippi,Public,0.7051876919465582,0.5062535303563719,0.3891188702413495,0.2882287698317018,0.19213196323611775
MO,Missouri,Private,0.3351206835153304,0.49380291863151804,0.6276401417793268,0.7288830177035522,0.8374982982135023
MO,Missouri,Public,0.6648793164846696,0.506197081368482,0.37235985822067313,0.2711169822964477,0.16250170178649764
MT,Montana,Private,0.29865321964678193,0.4524210473084022,0.5434474065307026,0.6992580956727554,0.7889691027375679
MT,Montana,Public,0.7013467803532181,0.5475789526915977,0.45655259346929744,0.30074190432724457,0.21103089726243213
NE,Nebraska,Private,0.3694800739484267,0.5046505293248086,0.6384576447818967,0.7387109759521546,0.8514096439440825
NE,Nebraska,Public,0.6305199260515734,0.49534947067519136,0.3615423552181033,0.2612890240478454,0.14859035605591753
NV,Nevada,Private,0.31488117720395636,0.4192823741878926,0.6027546535800055,0.6827981399672494,0.7792517777241418
NV,Nevada,Public,0.6851188227960436,0.5807176258121074,0.3972453464199945,0.3172018600327507,0.22074822227585822
NH,New Hampshire,Private,0.2935945117838629,0.4297082228116711,0.5759788073846035,0.7025158233533703,0.8255224032409716
NH,New Hampshire,Public,0.706405488216137,0.5702917771883289,0.4240211926153965,0.29748417664662974,0.1744775967590284
NJ,New Jersey,Private,0.2899169352444765,0.4050539686411183,0.5613830462786569,0.653592237725268,0.8154429823714721
NJ,New Jersey,Public,0.7100830647555235,0.5949460313588817,0.43861695372134313,0.3464077622747321,0.18455701762852791
NM,New Mexico,Private,0.20634593279813662,0.3458114629140317,0.48220002303086135,0.5650049953938576,0.7340563016238691
NM,New Mexico,Public,0.7936540672018634,0.6541885370859682,0.5177999769691386,0.4349950046061424,0.2659436983761308
NY,New York,Private,0.2640560525527556,0.3861448948467877,0.5157105804489759,0.6305875723921328,0.7713335912309532
NY,New York,Public,0.7359439474472443,0.6138551051532123,0.48428941955102406,0.3694124276078672,0.22866640876904676
NC,North Carolina,Private,0.33648241986833927,0.4763708143353616,0.6192910692839679,0.7029936995445738,0.8166868557263067
NC,North Carolina,Public,0.6635175801316607,0.5236291856646385,0.3807089307160321,0.2970063004554262,0.1833131442736933
ND,North Dakota,Private,0.4167726288028633,0.5603387674488669,0.6819029995801521,0.7394825736199976,0.865880073453925
ND,North Dakota,Public,0.5832273711971366,0.43966123255113315,0.3180970004198479,0.26051742638000236,0.134119926546075
OH,Ohio,Private,0.2705427023307818,0.43151059866571184,0.6013064512377968,0.7016291126323932,0.8324327722232941
OH,Ohio,Public,0.7294572976692182,0.5684894013342882,0.3986935487622032,0.29837088736760675,0.1675672277767058
OK,Oklahoma,Private,0.3097235223107402,0.4517855342487851,0.584131570917633,0.6841744839697486,0.7933213802842072
OK,Oklahoma,Public,0.6902764776892598,0.5482144657512149,0.415868429082367,0.31582551603025144,0.20667861971579282
OR,Oregon,Private,0.296834434069688,0.4071209844551816,0.5583855732803289,0.6487151465950605,0.782360261179827
OR,Oregon,Public,0.703165565930312,0.5928790155448185,0.4416144267196711,0.3512848534049396,0.21763973882017293
PA,Pennsylvania,Private,0.3084185463139694,0.4459855078345502,0.5862292057618128,0.6840595178131423,0.8153911332859302
PA,Pennsylvania,Public,0.6915814536860306,0.5540144921654497,0.4137707942381872,0.3159404821868576,0.1846088667140699
SC,South Carolina,Private,0.3238822197929012,0.487311402524416,0.5990221897539714,0.7009477950362494,0.7960789100834887
SC,South Carolina,Public,0.6761177802070988,0.512688597475584,0.40097781024602863,0.2990522049637507,0.20392108991651126
SD,South Dakota,Private,0.3429243790539472,0.5573100542913935,0.648398664043082,0.741008879183859,0.8362377668172156
SD,South Dakota,Public,0.6570756209460529,0.44268994570860654,0.351601335956918,0.25899112081614095,0.1637622331827844
TN,Tennessee,Private,0.3268563907526935,0.487293994662274,0.6351093155780165,0.7019998928697143,0.8173409096744975
TN,Tennessee,Public,0.6731436092473065,0.512706005337726,0.36489068442198347,0.29800010713028574,0.18265909032550257
TX,Texas,Private,0.3447711919127398,0.471482757077459,0.6292474076678972,0.7201216342528304,0.8350399191290804
TX,Texas,Public,0.6552288080872603,0.528517242922541,0.37075259233210284,0.2798783657471696,0.16496008087091962
UT,Utah,Private,0.4755638350720318,0.5644107245574043,0.7122254453374789,0.7994925339526893,0.8712681882053039
UT,Utah,Public,0.5244361649279682,0.43558927544259574,0.2877745546625211,0.20050746604731068,0.1287318117946961
VT,Vermont,Private,0.301717579588015,0.41200966484230567,0.532946951645556,0.6255132958577523,0.7967003916449086
VT,Vermont,Public,0.6982824204119851,0.5879903351576944,0.467053048354444,0.3744867041422477,0.2032996083550914
VA,Virginia,Private,0.3344776799680364,0.44819840159927754,0.6099833826423012,0.6925857127401488,0.8144446578956124
VA,Virginia,Public,0.6655223200319635,0.5518015984007225,0.3900166173576988,0.3074142872598512,0.18555534210438765
WA,Washington,Private,0.33065913135977226,0.41923608111639016,0.5522050733861207,0.646366286764773,0.7975124606069369
WA,Washington,Public,0.6693408686402277,0.5807639188836098,0.4477949266138794,0.353633713235227,0.20248753939306305
WV,West Virginia,Private,0.2527819921720496,0.39542182209831434,0.551258730135778,0.6854102323083121,0.7822676566290627
WV,West Virginia,Public,0.7472180078279503,0.6045781779016857,0.44874126986422197,0.31458976769168795,0.21773234337093722
