GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQHQE001,AQHQE002,AQHQE003,AQHQE004,AQHQE005,AQHQE006,AQHQE007,AQHQE008,AQHQE009,AQHQE010,AQHQE011,AQHQE012,AQHQE013,AQHQE014,AQHQE015,AQHQE016,AQHQE017,AQHQE018,AQHQE019,AQHQE020,AQHQE021,AQIYE001,AQIYE002,AQIYE003,AQIYE004,AQIYE005,AQIYE006,AQIYE007,AQIYE008,AQIYE009,AQIYE010,AQIYE011,AQIYE012,AQIYE013,AQIYE014,AQIYE015,AQIYE016,AQIYE017,AQIYE018,AQIYE019,AQIYE020,AQIYE021,AQIYE022,AQIYE023,AQIYE024,AQIYE025,AQIYE026,NAME_M,AQHQM001,AQHQM002,AQHQM003,AQHQM004,AQHQM005,AQHQM006,AQHQM007,AQHQM008,AQHQM009,AQHQM010,AQHQM011,AQHQM012,AQHQM013,AQHQM014,AQHQM015,AQHQM016,AQHQM017,AQHQM018,AQHQM019,AQHQM020,AQHQM021,AQIYM001,AQIYM002,AQIYM003,AQIYM004,AQIYM005,AQIYM006,AQIYM007,AQIYM008,AQIYM009,AQIYM010,AQIYM011,AQIYM012,AQIYM013,AQIYM014,AQIYM015,AQIYM016,AQIYM017,AQIYM018,AQIYM019,AQIYM020,AQIYM021,AQIYM022,AQIYM023,AQIYM024,AQIYM025,AQIYM026
"G010","2022","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,"0400000US01","01","Alabama",4988625,2401443,601074,581791,19283,1409402,1192586,216816,390967,389253,1714,2587182,581589,563644,17945,1506662,1326965,179697,498931,497118,1813,4917567,787571,669089,252085,519609,118482,894360,775995,448209,478871,118365,832670,749058,558569,332451,83612,687706,635971,519588,223721,51735,1715260,1652095,1503433,349283,63165,"Alabama",2393,6515,6242,6790,3260,4985,10778,9404,1983,1925,947,6195,7225,7102,2739,5002,10569,9267,2301,2295,749,2393,21791,19791,10438,18077,7810,27642,23960,16235,17130,9286,25930,23573,18925,14086,7852,26580,25003,22035,11819,6371,32220,30855,28245,13878,6321
"G020","2022","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,"0400000US02","02","Alaska",701511,358794,93141,86475,6666,216057,180681,35376,49596,48891,705,342717,89943,81218,8725,202385,177559,24826,50389,49714,675,684466,57415,49219,14569,41516,8196,81930,73144,34417,53451,8786,95085,82134,54588,44264,12951,87519,77859,61689,30494,9660,362517,329143,290723,86700,33374,"Alaska",2509,3352,2409,2786,1425,2937,3100,2827,965,1023,338,2592,2070,2290,1622,1788,3111,2676,850,906,346,2509,6619,5630,2380,5186,2110,6334,6247,4649,5566,1447,6821,6097,4845,4362,2535,7724,7154,6117,3606,2169,10043,10181,9844,6968,4387
"G040","2022","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,"0400000US04","04","Arizona",7251924,3593081,859623,789524,70099,2105988,1779353,326635,627470,622275,5195,3658843,823438,751783,71655,2100677,1832515,268162,734728,727762,6966,7183371,729931,636909,238186,499571,93022,1096271,933913,457402,638579,162358,1190354,1037687,674898,538958,152667,1041980,924956,703178,356577,117024,3124835,2905934,2515769,720218,218901,"Arizona",3111,4002,3697,7428,6317,3929,12790,11711,1631,2181,1387,3438,3744,7423,7125,4376,12498,11944,1306,2074,1522,3111,23108,22267,13395,19367,8635,30487,28032,17284,24285,11971,36076,30991,21202,23476,12578,33987,29722,24563,16823,11597,49014,43935,41411,22583,17168
"G050","2022","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,"0400000US05","05","Arkansas",2991199,1465641,379416,355264,24152,853061,733510,119551,233164,231796,1368,1525558,360297,340615,19682,875293,788956,86337,289968,288915,1053,2956944,484984,432880,125226,370825,52104,596420,529316,258378,365719,67104,548534,492996,325156,255892,55538,429134,396521,309500,144782,32613,897872,854132,750000,199789,43740,"Arkansas",1702,4878,5078,6867,4088,4173,6549,6145,1762,1847,746,4208,5119,5973,3518,3758,6659,5771,1742,1762,573,1702,19406,17594,8917,15961,6420,20018,18115,9868,15535,7103,22852,19850,14963,15128,8209,17642,16139,13472,9587,6083,23550,23555,21395,9598,5337
"G060","2022","CA",,,"California","06",,,,,,,,,,,,,,,,,,,"0400000US06","06","California",38548670,19171237,4611987,4460360,151627,11841859,10585172,1256687,2717391,2685468,31923,19377433,4404562,4268788,135774,11635441,10755460,879981,3337430,3301579,35851,38036641,3473541,3173608,1006337,2549923,299933,4738329,4294009,1721332,3128816,444320,5012595,4542854,2531721,2588968,469741,4664064,4294469,2863989,1959436,369595,20148112,19273992,16201151,4927474,874120,"California",7600,8812,7621,10190,8721,10945,22319,22889,3719,5104,2995,7273,8655,13527,9544,7646,19517,18752,2624,4007,3366,7614,61896,56135,30236,44475,16356,78043,71335,33581,60634,18847,77761,72223,41386,57529,17899,71327,65175,51952,38369,19297,107947,108295,88955,67372,26593
"G080","2022","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,"0400000US08","08","Colorado",5742363,2886790,655544,624185,31359,1818628,1625139,193489,412618,410593,2025,2855573,629698,598873,30825,1741925,1595373,146552,483950,479675,4275,5686009,474382,435195,168057,332538,39187,657638,576437,310030,371411,81201,775085,693376,456243,347763,81709,755516,693165,522394,261284,62351,3023388,2882021,2553206,582309,141367,"Colorado",3245,5032,5005,5940,3620,5121,10163,9323,1503,1681,903,4537,4864,6127,3580,4422,8472,7245,2014,2491,1223,3245,20152,19336,10735,15800,5318,20302,19039,14514,14359,8379,27407,24846,18331,16870,8434,27368,24907,21422,13434,7026,41562,38838,37538,15303,10006
"G090","2022","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,"0400000US09","09","Connecticut",3582236,1751237,400829,386035,14794,1061152,969239,91913,289256,286489,2767,1830999,379768,369950,9818,1095617,1032509,63108,355614,353098,2516,3500911,324768,301545,84628,255677,23223,408194,376543,163407,274430,31651,427151,393093,238654,218452,34058,429061,402588,298056,168753,26473,1911737,1845877,1622831,411974,65860,"Connecticut",1410,2821,3432,4255,3296,3206,7292,6618,1180,1344,1025,2372,3267,3775,2048,3574,5742,4606,1518,1789,911,1410,17092,16669,5813,16299,4894,21049,19649,10601,16185,5438,19046,17449,11490,12819,6460,20056,19641,16477,12903,4561,26708,25544,24492,13936,6758
"G100","2022","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,"0400000US10","10","Delaware",1005551,485841,112942,108551,4391,278407,250804,27603,94492,94023,469,519710,109629,106532,3097,296243,276068,20175,113838,112783,1055,992642,86370,78944,28260,66242,7426,130895,119736,65675,83018,11159,141131,132645,96545,66698,8486,141255,132183,100173,57295,9072,492991,472639,421416,121220,20352,"Delaware",962,1475,1545,2059,1397,1456,3875,3633,464,565,306,1165,1470,1709,1021,1185,3325,3177,490,754,529,962,7410,7170,3818,6224,2084,10704,9629,4977,8396,3107,11125,10431,9011,6408,2423,11353,10698,8862,6200,2560,15488,13714,13058,7115,4136
"G110","2022","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,"0400000US11","11","District of Columbia",661425,312192,67276,66074,1202,209473,198815,10658,35443,35048,395,349233,66937,66265,672,232440,226074,6366,49856,49675,181,629545,78219,73994,25285,57690,4225,60223,57098,27759,38551,3125,68468,65306,43116,30635,3162,50435,49800,41091,13799,635,372200,365992,319267,75213,6208,"District of Columbia",1193,1428,1230,1660,1072,1695,2849,2321,441,573,333,963,1453,1562,562,1330,2024,1448,266,342,204,1193,9668,9818,3545,9484,1549,6911,6542,4030,5737,1465,10310,10150,5548,8134,1601,4883,4866,4336,2865,463,12311,12200,11458,9278,2218
"G120","2022","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,"0400000US12","12","Florida",21904247,10713019,2326507,2152683,173824,6262516,5099621,1162895,2123996,2101860,22136,11191228,2214317,2051725,162592,6409875,5513668,896207,2567036,2536965,30071,21697251,2491913,2115778,866530,1589658,376135,3643515,3098246,1636715,1959264,545269,3666093,3178775,2168153,1501644,487318,3161296,2796631,2136484,1060315,364665,8734434,8082310,6992811,2055921,652124,"Florida",6171,8913,7714,11638,11138,8230,21971,20196,4043,5284,3063,7873,7554,12083,9836,7162,17687,15261,2999,4572,3781,6172,46506,39409,22580,33566,15188,54676,49987,34919,38205,23202,58964,55093,46414,31979,18662,52228,45650,39837,26034,19087,66615,63123,63124,30850,21589
